"id","time","t_start","t_stop","status","prec","prec_cuml","srf"
1962,85,5,6,0,0.270000010728836,3.02000000700355,21359018
1962,85,6,7,0,0.0299999993294477,3.05000000633299,27472506
1962,85,7,8,0,0.270000010728836,3.32000001706183,21374990
1962,85,8,9,0,0.709999978542328,4.02999999560416,15802654
1962,85,9,10,0,0.910000026226044,4.9400000218302,15829794
1962,85,10,11,0,0.439999997615814,5.38000001944602,21250460
1962,85,11,12,0,1,6.38000001944602,21249898
1962,85,12,13,0,0.0799999982118607,6.46000001765788,20249308
1962,85,13,14,0,0.170000001788139,6.63000001944602,20304576
1962,85,14,15,0,0.00999999977648258,6.6400000192225,23098852
1962,85,15,16,0,0.349999994039536,6.99000001326203,19806130
1962,85,16,17,0,0.349999994039536,7.34000000730157,18988544
1962,85,17,18,0,0.209999993443489,7.55000000074506,20932936
1962,85,18,19,0,0.860000014305115,8.41000001505017,19764026
1962,85,19,20,0,0.0599999986588955,8.47000001370907,23207220
1962,85,20,21,0,0.0399999991059303,8.510000012815,21271198
1962,85,21,22,0,0.119999997317791,8.63000001013279,23637156
1962,85,22,23,0,7.21999979019165,15.8499998003244,22202076
1962,85,23,24,0,2.45000004768372,18.2999998480082,18076232
1962,85,24,25,0,1.67999994754791,19.9799997955561,20446404
1962,85,25,26,0,4.03000020980835,24.0100000053644,17213342
1962,85,26,27,0,2.47000002861023,26.4800000339746,20944866
1962,85,27,28,0,4.17999982833862,30.6599998623133,18422320
1962,85,28,29,0,1.95000004768372,32.609999909997,21155488
1962,85,29,30,0,10.2799997329712,42.8899996429682,17028078
1962,85,30,31,0,5.65999984741211,48.5499994903803,19319606
1962,85,31,32,0,0.699999988079071,49.2499994784594,21689728
1962,85,32,33,0,1.99000000953674,51.2399994879961,21056806
1962,85,33,34,0,9.97000026702881,61.2099997550249,20051208
1962,85,34,35,0,30.9300003051758,92.1400000602007,18759488
1962,85,35,36,0,3.40000009536743,95.5400001555681,19518172
1962,85,36,37,0,0.0500000007450581,95.5900001563132,23372892
1962,85,37,38,0,0.140000000596046,95.7300001569092,21536142
1962,85,38,39,0,0,95.7300001569092,26931930
1962,85,39,40,0,1.51999998092651,97.2500001378357,22269350
1962,85,40,41,0,0.519999980926514,97.7700001187623,20760492
1962,85,41,42,0,1.29999995231628,99.0700000710785,19081590
1962,85,42,43,0,1.24000000953674,100.310000080615,21037830
1962,85,43,44,0,1.05999994277954,101.370000023395,20231490
1962,85,44,45,0,1.87999999523163,103.250000018626,14089460
1962,85,45,46,0,2.64000010490417,105.890000123531,18459812
1962,85,46,47,0,2.75999999046326,108.650000113994,19359606
1962,85,47,48,0,2.20000004768372,110.850000161678,17501240
1962,85,48,49,0,2.26999998092651,113.120000142604,20825164
1962,85,49,50,0,0.100000001490116,113.220000144094,20481948
1962,85,50,51,0,0.0299999993294477,113.250000143424,23337528
1962,85,51,52,0,0.360000014305115,113.610000157729,21677610
1962,85,52,53,0,0.860000014305115,114.470000172034,21777322
1962,85,53,54,0,1.8400000333786,116.310000205413,22926002
1962,85,54,55,0,2.26999998092651,118.580000186339,20962094
1962,85,55,56,0,1.27999997138977,119.860000157729,21535294
1962,85,56,57,0,11.2700004577637,131.130000615492,19735292
1962,85,57,58,0,18.0699996948242,149.200000310317,19877292
1962,85,58,59,0,9.15999984741211,158.360000157729,18999870
1962,85,59,60,0,8.36999988555908,166.730000043288,17259738
1962,85,60,61,0,13.3999996185303,180.129999661818,17141072
1962,85,61,62,0,4.8899998664856,185.019999528304,18146870
1962,85,62,63,0,15.9200000762939,200.939999604598,15190100
1962,85,63,64,0,20.5900001525879,221.529999757186,13168175
1962,85,64,65,0,11.5900001525879,233.119999909773,14729423
1962,85,65,66,0,5.48999977111816,238.609999680892,19924138
1962,85,66,67,0,12.8299999237061,251.439999604598,19605446
